[2017-06-12 16:17:20,234] 线程:[6892] Recieve route server message:{"failtureReason":"","messageName":"LoginServerResp","loginResult":"1"} 
[2017-06-12 16:17:20,234] 线程:[6920] Sent message to RouteServer:{"messageName":"LoginServer","unitCode":"410100"} 
[2017-06-12 16:17:20,281] 线程:[6920] Sent message to RouteServer:{"messageName":"LoginServer","unitCode":"410100"} 
[2017-06-12 16:17:20,312] 线程:[6892] Recieve route server message:{"failtureReason":"","messageName":"LoginServerResp","loginResult":"1"} 
[2017-06-12 16:17:20,328] 线程:[6920] Sent message to RouteServer:{"messageName":"LoginServer","unitCode":"410100"} 
[2017-06-12 16:17:20,359] 线程:[6892] Recieve route server message:{"failtureReason":"","messageName":"LoginServerResp","loginResult":"1"} 
[2017-06-12 16:17:20,656] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:17:21,390] 线程:[7200] {
  "ID": "004",
  "Result": "1"
} 
[2017-06-12 16:17:25,375] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:17:30,375] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:17:35,375] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:17:40,375] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:17:45,375] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:17:50,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:17:55,375] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:00,375] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:05,375] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:10,375] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:15,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:20,562] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:25,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:30,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:35,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:40,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:45,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:50,562] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:18:55,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:00,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:05,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:10,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:15,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:20,562] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:25,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:30,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:35,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:40,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:45,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:50,562] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:19:55,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:00,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:05,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:10,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:15,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:20,562] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:25,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:30,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:35,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:40,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:45,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:50,562] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:20:55,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:00,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:05,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:10,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:15,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:20,562] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:25,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:30,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:35,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:40,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:45,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:50,562] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:21:55,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:00,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:05,390] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:10,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:15,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:20,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:25,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:30,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:35,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:40,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:45,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:50,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:22:55,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:00,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:05,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:10,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:15,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:20,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:25,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:30,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:35,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:40,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:45,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:50,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:23:55,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:00,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:05,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:10,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:15,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:20,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:25,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:30,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:35,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:40,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:45,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:50,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:24:55,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:00,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:05,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:10,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:15,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:20,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:25,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:30,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:35,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:40,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:45,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:50,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:25:55,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:00,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:05,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:10,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:15,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:20,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:25,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:30,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:35,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:40,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:45,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:50,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:26:55,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:27:00,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:27:05,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:27:10,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:27:15,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:27:20,578] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:27:25,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:27:30,406] 线程:[7200] {"ID":"004"} 
[2017-06-12 16:27:35,406] 线程:[7200] {"ID":"004"} 
