[2017-06-14 10:42:56,281] 线程:[5620] Sent message to RouteServer:{"messageName":"LoginServer","unitCode":"410100"} 
[2017-06-14 10:42:56,296] 线程:[5620] Sent message to RouteServer:{"messageName":"LoginServer","unitCode":"410100"} 
[2017-06-14 10:42:56,484] 线程:[160] Recieve route server message:{"failtureReason":"","messageName":"LoginServerResp","loginResult":"1"} 
[2017-06-14 10:42:56,484] 线程:[6020] Recieve route server message:{"failtureReason":"","messageName":"LoginServerResp","loginResult":"1"} 
[2017-06-14 10:42:57,890] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:42:59,671] 线程:[5876] {
  "ID": "004",
  "Result": "1"
} 
[2017-06-14 10:43:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:43:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:43:11,937] 线程:[5620] Sent message to RouteServer:{"messageName":"LoginServer","unitCode":"410100"} 
[2017-06-14 10:43:11,968] 线程:[6020] Recieve route server message:{"failtureReason":"","messageName":"LoginServerResp","loginResult":"1"} 
[2017-06-14 10:43:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:43:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:43:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:43:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:43:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:43:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:43:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:43:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:43:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:43:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:44:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:45:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:46:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:47:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:48:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:49:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:50:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:51:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:52:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:17,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:22,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:27,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:32,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:37,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:42,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:47,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:52,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:53:57,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:54:02,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:54:07,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:54:12,453] 线程:[5876] {"ID":"004"} 
[2017-06-14 10:54:17,453] 线程:[5876] {"ID":"004"} 
